kreis_destatis,hk_name,hk_id
1001,Flensburg,1
1002,Kiel,2
1003,Lübeck,3
1004,Neumünster,4
1051,"Dithmarschen, Kreis",5
1053,"Herzogtum Lauenburg, Kreis",6
1054,"Nordfriesland, Kreis",7
1055,"Ostholstein, Kreis",8
1056,"Pinneberg, Kreis",9
1057,"Plön, Kreis",10
1058,"Rendsburg-Eckernförde, Kreis",11
1059,"Schleswig-Flensburg, Kreis",12
1060,"Segeberg, Kreis",13
1061,"Steinburg, Kreis",14
1062,"Stormarn, Kreis",15
2000,Hamburg,16
2101,Hamburg,16
2102,Hamburg,16
2103,Hamburg,16
2104,Hamburg,16
2105,Hamburg,16
2106,Hamburg,16
2107,Hamburg,16
2108,Hamburg,16
2109,Hamburg,16
2110,Hamburg,16
2111,Hamburg,16
2112,Hamburg,16
2113,Hamburg,16
2114,Hamburg,16
2115,Hamburg,16
2116,Hamburg,16
2117,Hamburg,16
2118,Hamburg,16
2119,Hamburg,16
2120,Hamburg,16
2121,Hamburg,16
2201,Hamburg,16
2202,Hamburg,16
2203,Hamburg,16
2204,Hamburg,16
2205,Hamburg,16
2206,Hamburg,16
2207,Hamburg,16
2208,Hamburg,16
2209,Hamburg,16
2210,Hamburg,16
2211,Hamburg,16
2212,Hamburg,16
2213,Hamburg,16
2214,Hamburg,16
2301,Hamburg,16
2302,Hamburg,16
2303,Hamburg,16
2304,Hamburg,16
2305,Hamburg,16
2306,Hamburg,16
2307,Hamburg,16
2308,Hamburg,16
2309,Hamburg,16
2401,Hamburg,16
2402,Hamburg,16
2403,Hamburg,16
2404,Hamburg,16
2405,Hamburg,16
2406,Hamburg,16
2407,Hamburg,16
2408,Hamburg,16
2409,Hamburg,16
2410,Hamburg,16
2411,Hamburg,16
2412,Hamburg,16
2413,Hamburg,16
2501,Hamburg,16
2502,Hamburg,16
2503,Hamburg,16
2504,Hamburg,16
2505,Hamburg,16
2506,Hamburg,16
2507,Hamburg,16
2508,Hamburg,16
2509,Hamburg,16
2510,Hamburg,16
2511,Hamburg,16
2512,Hamburg,16
2513,Hamburg,16
2514,Hamburg,16
2515,Hamburg,16
2516,Hamburg,16
2517,Hamburg,16
2518,Hamburg,16
2601,Hamburg,16
2602,Hamburg,16
2603,Hamburg,16
2604,Hamburg,16
2605,Hamburg,16
2606,Hamburg,16
2607,Hamburg,16
2608,Hamburg,16
2609,Hamburg,16
2610,Hamburg,16
2611,Hamburg,16
2612,Hamburg,16
2613,Hamburg,16
2701,Hamburg,16
2702,Hamburg,16
2703,Hamburg,16
2704,Hamburg,16
2705,Hamburg,16
2706,Hamburg,16
2707,Hamburg,16
2708,Hamburg,16
2709,Hamburg,16
2710,Hamburg,16
2711,Hamburg,16
2712,Hamburg,16
2713,Hamburg,16
2714,Hamburg,16
2715,Hamburg,16
2716,Hamburg,16
2717,Hamburg,16
2718,Hamburg,16
3101,Braunschweig,17
3102,Salzgitter,18
3103,Wolfsburg,19
3151,"Gifhorn, Landkreis",20
3152,"Göttingen, Landkreis",21
3153,"Goslar, Landkreis",22
3154,"Helmstedt, Landkreis",23
3155,"Northeim, Landkreis",24
3156,"Osterode am Harz, Landkreis",25
3157,"Peine, Landkreis",26
3158,"Wolfenbüttel, Landkreis",27
3201,Region Hannover,28
3241,Region Hannover,28
3251,"Diepholz, Landkreis",29
3252,"Hameln-Pyrmont, Landkreis",30
3253,Region Hannover,28
3254,"Hildesheim, Landkreis",31
3255,"Holzminden, Landkreis",32
3256,"Nienburg (Weser), Landkreis",33
3257,"Schaumburg, Landkreis",34
3351,"Celle, Landkreis",35
3352,"Cuxhaven, Landkreis",36
3353,"Harburg, Landkreis",37
3354,"Lüchow-Dannenberg, Landkreis",38
3355,"Lüneburg, Landkreis",39
3356,"Osterholz, Landkreis",40
3357,"Rotenburg (Wümme), Landkreis",41
3358,"Soltau-Fallingbostel, Landkreis",42
3359,"Stade, Landkreis",43
3360,"Uelzen, Landkreis",44
3361,"Verden, Landkreis",45
3401,Delmenhorst,46
3402,Emden,47
3403,Oldenburg,48
3404,Osnabrück,49
3405,Wilhelmshaven,50
3451,"Ammerland, Landkreis",51
3452,"Aurich, Landkreis",52
3453,"Cloppenburg, Landkreis",53
3454,"Emsland, Landkreis",54
3455,"Friesland, Landkreis",55
3456,"Grafschaft Bentheim, Landkreis",56
3457,"Leer, Landkreis",57
3458,"Oldenburg, Landkreis",58
3459,"Osnabrück, Landkreis",59
3460,"Vechta, Landkreis",60
3461,"Wesermarsch, Landkreis",61
3462,"Wittmund, Landkreis",62
4011,Bremen,63
4012,Bremerhaven,64
5111,Düsseldorf,65
5112,Duisburg,66
5113,Essen,67
5114,Krefeld,68
5116,Mönchengladbach,69
5117,Mülheim,70
